date,open,high,low,close,volume
1996-12-11,705.99,709.48,704.43,704.68,28000
1996-12-12,705.11,706.01,688.74,689.38,25900
1996-12-13,690.44,695.72,677.64,689.07,26500
1996-12-16,686.97,686.97,667.71,673.92,22800
1996-12-17,675.35,680.09,660.39,663.35,31600
1996-12-18,662.07,671.43,655.47,661.39,31500
1996-12-19,668.13,690.97,668.13,690.97,30400
1996-12-20,695.33,703.51,692.47,700.87,30000
1996-12-23,691.98,697.12,684.81,684.81,21500
1996-12-24,683.11,687.06,677.56,677.76,23800
1996-12-26,676.21,676.21,655.24,659.01,25500
1996-12-27,654.82,657.04,643.57,651.22,35100
1997-01-03,647.67,655.7,635.41,653.79,13900
1997-01-06,637.98,637.98,625.01,626.87,17600
1997-01-07,622.45,627.61,609.12,611.05,24100
1997-01-08,608.53,623.39,600.56,621.41,34200
1997-01-09,619.1,640.81,612.41,639.87,36100
1997-01-10,637.99,653.59,636.81,648.69,36500
1997-01-13,659.81,664.95,655.74,659.54,28700
1997-01-14,656.67,687.66,656.67,686.59,36600
1997-01-15,690.18,699.76,686.02,699.76,42000
1997-01-16,701.64,711.96,694.39,711.86,47300
1997-01-17,713.07,720.41,695.77,701.18,48200
1997-01-20,697.56,720.69,697.56,718.46,43000
1997-01-21,721.04,721.79,690.54,690.54,44300
1997-01-22,686.71,686.89,671.91,678.94,36700
1997-01-23,679.34,685.14,672.73,676.91,31000
1997-01-24,669.03,679.56,658.18,679.56,35500
1997-01-27,684.31,685.46,664.68,664.7,28300
1997-01-28,661.66,677.63,653.42,662.85,30400
1997-01-29,663.33,672.9,654.95,663.56,30200
1997-01-30,663.65,679.04,662.27,676.52,28800
1997-01-31,678.19,687.99,678.17,685.84,32000
1997-02-03,682.26,696.21,681.01,687.25,27300
1997-02-04,687.84,696.24,687.84,695.95,33100
1997-02-05,698.18,708.2,697.95,698.6,38600
1997-02-06,698.54,704.44,693.82,700.22,34100
1997-02-10,701.43,709.8,701.43,709.79,29300
1997-02-11,711.11,713.88,707.86,713.43,41400
1997-02-12,714.82,715.87,708.72,712.5,35300
1997-02-13,713.64,726.13,713.64,716.71,49800
1997-02-14,717.29,723.02,715.0,721.0,39100
1997-02-17,720.42,721.5,712.93,712.93,31500
1997-02-18,712.62,715.18,703.99,706.94,30400
1997-02-19,708.64,713.67,706.58,713.67,31100
1997-02-20,713.5,716.18,707.83,711.13,35000
1997-02-21,710.87,711.75,686.71,686.72,30800
1997-02-24,681.48,686.94,676.11,676.59,24100
1997-02-25,676.73,682.81,670.41,682.81,25300
1997-02-26,683.59,691.27,679.66,679.71,29900
1997-02-27,678.11,679.8,668.71,669.41,30300
1997-02-28,669.01,679.07,664.75,676.53,37800
1997-03-03,677.18,684.44,677.18,679.64,27000
1997-03-04,679.51,683.32,675.82,679.97,28100
1997-03-05,680.48,684.55,673.63,674.9,38800
1997-03-06,675.25,685.95,675.25,678.11,41300
1997-03-07,679.83,685.26,679.83,681.22,37400
1997-03-10,673.91,674.29,667.29,667.35,29400
1997-03-11,665.83,665.83,654.92,655.95,29800
1997-03-12,655.76,663.9,655.07,663.9,30000
1997-03-13,663.91,666.26,656.86,657.9,32100
1997-03-14,657.73,657.98,641.83,642.08,27600
1997-03-17,642.17,658.94,641.04,658.9,28400
1997-03-18,659.73,663.7,653.25,657.97,30500
1997-03-19,656.9,656.9,643.04,646.29,33000
1997-03-20,642.73,646.73,630.37,642.86,34100
1997-03-21,640.52,640.52,626.39,627.63,34200
1997-03-24,622.14,622.39,607.87,617.26,36200
1997-03-25,616.11,638.9,614.99,638.9,43000
1997-03-26,640.45,656.78,637.36,656.62,44000
1997-03-27,657.1,665.57,651.59,651.65,45600
1997-03-28,652.88,661.55,650.72,652.87,40700
1997-03-31,670.75,678.76,670.75,677.34,44000
1997-04-01,678.97,688.12,672.07,672.99,38600
1997-04-02,672.82,683.32,668.72,678.86,36300
1997-04-03,680.14,689.12,676.44,678.74,41700
1997-04-04,679.88,688.06,679.14,687.42,40600
1997-04-07,688.88,699.02,688.88,694.9,40700
1997-04-08,695.35,699.07,687.87,694.97,40100
1997-04-09,695.86,699.7,694.55,698.66,43800
1997-04-10,698.88,700.06,688.04,688.04,46100
1997-04-11,688.39,693.94,682.47,693.94,44200
1997-04-14,698.44,705.82,698.44,704.2,43300
1997-04-15,706.05,710.67,701.39,701.39,46700
1997-04-16,701.43,703.04,697.75,702.42,39100
1997-04-17,702.98,703.44,690.66,694.76,42900
1997-04-18,695.21,698.52,692.57,695.67,38700
1997-04-21,702.16,706.95,697.3,697.34,40300
1997-04-22,696.28,696.37,685.96,687.96,31400
1997-04-23,688.17,695.24,688.0,693.05,35100
1997-04-24,694.04,697.43,689.29,690.8,44000
1997-04-25,691.57,693.97,687.41,692.48,41600
1997-04-28,703.13,707.42,703.13,704.16,41700
1997-04-29,705.13,705.68,701.09,704.05,38100
1997-04-30,705.0,706.54,701.89,703.23,43700
1997-05-02,704.77,709.6,699.18,706.1,65400
1997-05-06,706.53,706.92,700.32,701.57,44500
1997-05-07,700.87,700.87,689.09,689.1,42000
1997-05-08,688.89,690.44,682.73,684.69,39800
1997-05-09,685.91,693.2,685.91,687.62,44700
1997-05-12,678.5,683.32,667.66,672.1,36800
1997-05-13,673.08,684.61,669.01,683.86,36000
1997-05-15,684.74,705.1,684.74,699.95,51200
1997-05-16,702.51,709.57,695.93,699.53,50100
1997-05-19,710.41,721.23,710.41,721.2,56900
1997-05-20,723.16,734.76,722.35,734.67,62800
1997-05-21,735.3,739.73,729.32,737.71,64200
1997-05-22,737.18,738.18,723.54,724.38,60000
1997-05-23,723.67,730.54,715.53,730.53,53900
1997-05-26,724.71,725.51,717.35,718.99,39300
1997-05-27,719.82,724.39,716.51,723.35,39800
1997-05-28,724.97,738.12,724.97,738.12,56100
1997-05-29,745.26,749.37,741.85,742.5,65100
1997-05-30,742.38,752.29,741.0,746.36,55200
1997-06-02,758.92,770.97,756.88,758.39,84900
1997-06-03,758.89,766.49,753.36,766.06,60600
1997-06-04,766.54,774.48,755.01,763.25,87900
1997-06-05,762.92,766.77,761.67,765.67,51300
1997-06-09,764.91,775.02,762.42,775.01,57000
1997-06-10,777.88,781.51,769.11,769.83,67100
1997-06-11,769.7,770.58,764.94,765.79,46200
1997-06-12,767.94,777.88,767.94,774.66,59700
1997-06-13,775.67,789.4,775.67,789.15,83700
1997-06-16,793.57,796.81,786.16,789.05,58700
1997-06-17,790.99,798.76,783.32,792.29,60000
1997-06-18,793.02,799.54,768.04,773.21,54300
1997-06-19,769.69,779.17,763.18,770.95,48700
1997-06-20,772.6,775.61,766.25,770.22,42200
1997-06-23,759.33,762.44,751.85,753.05,31700
1997-06-24,751.63,753.97,747.29,753.7,34500
1997-06-25,753.72,753.85,742.52,744.99,37300
